wallet,risk_propagated,risk_anomaly,risk_peeling,final_risk,involved_in_illicit_pattern,pattern_types_involved,is_seed,explanation,tie_break_score,anomaly_shap_reason,peeling_shap_reason,final_explanation
bc1qvwvm4w3zkwdeekgyspengwyx9trflqbmae38sr,0.9626985892257522,0.5712358601191858,1.0,1.0,True,peeling,True,Flagged for: network proximity to known cash-out wallets (propagated risk 0.96); statistically anomalous behavior (anomaly score 0.57); participation in a high-confidence peeling chain (probability 1.00).,2.533934449344938,Driven by: an unusually extreme single transaction amount (contributed +0.208); an unusually high transaction frequency (contributed +0.182); unusually large average transaction amount (contributed +0.133).,Driven by: how tightly-timed the fastest hop was (contributed +0.169); the average time between hops (contributed +0.120); how tightly-timed the slowest hop was (contributed +0.077).,"[Network] Proximity to known cash-out wallets (propagated risk 0.96). [Anomaly] Driven by: an unusually extreme single transaction amount (contributed +0.208); an unusually high transaction frequency (contributed +0.182); unusually large average transaction amount (contributed +0.133). [Peeling-chain, P=1.00] Driven by: how tightly-timed the fastest hop was (contributed +0.169); the average time between hops (contributed +0.120); how tightly-timed the slowest hop was (contributed +0.077)."
bc1qf1xw53zg1igae7utei5cqom3oqcez5xtebi7t9,0.9626970564087944,0.3144553444822967,1.0,1.0,True,peeling,True,Flagged for: network proximity to known cash-out wallets (propagated risk 0.96); participation in a high-confidence peeling chain (probability 1.00).,2.277152400891091,Driven by: unusually large average transaction amount (contributed +0.256); an unusually extreme single transaction amount (contributed +0.149); an unusually high number of outgoing payments (contributed +0.068).,Driven by: how tightly-timed the fastest hop was (contributed +0.169); the average time between hops (contributed +0.111); how tightly-timed the slowest hop was (contributed +0.077).,"[Network] Proximity to known cash-out wallets (propagated risk 0.96). [Peeling-chain, P=1.00] Driven by: how tightly-timed the fastest hop was (contributed +0.169); the average time between hops (contributed +0.111); how tightly-timed the slowest hop was (contributed +0.077)."
bc1qvfua9bq1btr23qiua08ekxdrkz40aq15o2nqw4,0.9626942507181636,0.1671421661945631,1.0,1.0,True,peeling,True,Flagged for: network proximity to known cash-out wallets (propagated risk 0.96); participation in a high-confidence peeling chain (probability 1.00).,2.129836416912726,Driven by: unusually large average transaction amount (contributed +0.292); an unusually high transaction frequency (contributed +0.253); an atypical time-of-day transaction pattern (contributed +0.100).,Driven by: how tightly-timed the fastest hop was (contributed +0.169); the average time between hops (contributed +0.120); how tightly-timed the slowest hop was (contributed +0.077).,"[Network] Proximity to known cash-out wallets (propagated risk 0.96). [Peeling-chain, P=1.00] Driven by: how tightly-timed the fastest hop was (contributed +0.169); the average time between hops (contributed +0.120); how tightly-timed the slowest hop was (contributed +0.077)."
bc1qcxotx76d2kjrzcv3hrqa9vzeox981bf8w80uxn,0.9626949299333374,0.0646760006056559,1.0,1.0,True,peeling,True,Flagged for: network proximity to known cash-out wallets (propagated risk 0.96); participation in a high-confidence peeling chain (probability 1.00).,2.0273709305389933,Driven by: physically implausible peer geo-velocity (contributed +0.353); unusually large average transaction amount (contributed +0.262); an unusually high number of incoming payments (contributed +0.246).,Driven by: how tightly-timed the fastest hop was (contributed +0.169); the average time between hops (contributed +0.106); how tightly-timed the slowest hop was (contributed +0.077).,"[Network] Proximity to known cash-out wallets (propagated risk 0.96). [Peeling-chain, P=1.00] Driven by: how tightly-timed the fastest hop was (contributed +0.169); the average time between hops (contributed +0.106); how tightly-timed the slowest hop was (contributed +0.077)."
bc1qn2twdl9zs13c9xqym52xg8p6befflzm764jwte,0.0162471932369255,1.0,1.0,1.0,True,"coinjoin,fanin,peeling",False,Flagged for: statistically anomalous behavior (anomaly score 1.00); participation in a high-confidence peeling chain (probability 1.00).,2.016247193236925,No individual feature stood out; flagged only by combined weak signals.,Driven by: how tightly-timed the fastest hop was (contributed +0.169); the average time between hops (contributed +0.111); how tightly-timed the slowest hop was (contributed +0.074).,"[Anomaly] No individual feature stood out; flagged only by combined weak signals. [Peeling-chain, P=1.00] Driven by: how tightly-timed the fastest hop was (contributed +0.169); the average time between hops (contributed +0.111); how tightly-timed the slowest hop was (contributed +0.074)."
bc1qdygfliji18k0axycelos6zle6kwhef0votqtxh,0.0010599537689254,0.8279634963953817,1.0,1.0,True,"fanin,fanout,peeling",False,Flagged for: statistically anomalous behavior (anomaly score 0.83); participation in a high-confidence peeling chain (probability 1.00).,1.829023450164307,Driven by: an unusually high transaction frequency (contributed +0.089).,Driven by: how tightly-timed the fastest hop was (contributed +0.173); the average time between hops (contributed +0.122); how tightly-timed the slowest hop was (contributed +0.084).,"[Anomaly] Driven by: an unusually high transaction frequency (contributed +0.089). [Peeling-chain, P=1.00] Driven by: how tightly-timed the fastest hop was (contributed +0.173); the average time between hops (contributed +0.122); how tightly-timed the slowest hop was (contributed +0.084)."
bc1qugnekrcpprcjiwvhdk8lw2lm349el8hl88kzru,0.0004424569190352,0.7857953428364022,1.0,1.0,True,peeling,False,Flagged for: statistically anomalous behavior (anomaly score 0.79); participation in a high-confidence peeling chain (probability 1.00).,1.7862377997554373,Driven by: an unusually high transaction frequency (contributed +0.107); unusually large average transaction amount (contributed +0.090).,Driven by: how tightly-timed the fastest hop was (contributed +0.169); the average time between hops (contributed +0.114); how tightly-timed the slowest hop was (contributed +0.078).,"[Anomaly] Driven by: an unusually high transaction frequency (contributed +0.107); unusually large average transaction amount (contributed +0.090). [Peeling-chain, P=1.00] Driven by: how tightly-timed the fastest hop was (contributed +0.169); the average time between hops (contributed +0.114); how tightly-timed the slowest hop was (contributed +0.078)."
bc1q5259gmq2p014x5dlwy1p6mxswy0szkbnsh8llr,5.114914087500805e-07,0.7713120877994932,1.0,1.0,True,peeling,False,Flagged for: statistically anomalous behavior (anomaly score 0.77); participation in a high-confidence peeling chain (probability 1.00).,1.771312599290902,Driven by: an unusually high number of incoming payments (contributed +0.162); an atypical number of transactions (contributed +0.081); an unusually high number of outgoing payments (contributed +0.058).,Driven by: how tightly-timed the fastest hop was (contributed +0.169); the average time between hops (contributed +0.106); how tightly-timed the slowest hop was (contributed +0.077).,"[Anomaly] Driven by: an unusually high number of incoming payments (contributed +0.162); an atypical number of transactions (contributed +0.081); an unusually high number of outgoing payments (contributed +0.058). [Peeling-chain, P=1.00] Driven by: how tightly-timed the fastest hop was (contributed +0.169); the average time between hops (contributed +0.106); how tightly-timed the slowest hop was (contributed +0.077)."
bc1q3fpoyipk0qtl3q4n89qkns832ejx5td44k1j6f,0.0045674957036663,0.7618012016259993,1.0,1.0,True,peeling,False,Flagged for: statistically anomalous behavior (anomaly score 0.76); participation in a high-confidence peeling chain (probability 1.00).,1.7663686973296655,Driven by: an unusually high transaction frequency (contributed +0.076).,Driven by: how tightly-timed the fastest hop was (contributed +0.176); the average time between hops (contributed +0.123); how tightly-timed the slowest hop was (contributed +0.081).,"[Anomaly] Driven by: an unusually high transaction frequency (contributed +0.076). [Peeling-chain, P=1.00] Driven by: how tightly-timed the fastest hop was (contributed +0.176); the average time between hops (contributed +0.123); how tightly-timed the slowest hop was (contributed +0.081)."
bc1qa4fejgxaa2ilgb0s0r2sds8b25sq8croyr6ccv,1.0145221503079824e-08,0.7517805025691469,1.0,1.0,True,"fanout,peeling",False,Flagged for: statistically anomalous behavior (anomaly score 0.75); participation in a high-confidence peeling chain (probability 1.00).,1.7517805127143684,Driven by: an unusually high transaction frequency (contributed +0.110); physically implausible peer geo-velocity (contributed +0.006).,Driven by: how tightly-timed the fastest hop was (contributed +0.169); the average time between hops (contributed +0.120); how tightly-timed the slowest hop was (contributed +0.077).,"[Anomaly] Driven by: an unusually high transaction frequency (contributed +0.110); physically implausible peer geo-velocity (contributed +0.006). [Peeling-chain, P=1.00] Driven by: how tightly-timed the fastest hop was (contributed +0.169); the average time between hops (contributed +0.120); how tightly-timed the slowest hop was (contributed +0.077)."
bc1q15ahdbvzb0oih5csk30lvylkfxhkc856wpr97y,4.8203647211935154e-05,0.7447148839329132,1.0,1.0,True,peeling,False,Flagged for: statistically anomalous behavior (anomaly score 0.74); participation in a high-confidence peeling chain (probability 1.00).,1.7447630875801252,Driven by: an unusually high transaction frequency (contributed +0.123); consistently high peer geo-velocity (contributed +0.089).,Driven by: how tightly-timed the fastest hop was (contributed +0.168); the average time between hops (contributed +0.126); how tightly-timed the slowest hop was (contributed +0.081).,"[Anomaly] Driven by: an unusually high transaction frequency (contributed +0.123); consistently high peer geo-velocity (contributed +0.089). [Peeling-chain, P=1.00] Driven by: how tightly-timed the fastest hop was (contributed +0.168); the average time between hops (contributed +0.126); how tightly-timed the slowest hop was (contributed +0.081)."
bc1q8osvc1u5w2k2ub5zr8346aw0ewayaj5nd3ao4m,6.258556681419363e-07,0.7266276002587677,1.0,1.0,True,peeling,False,Flagged for: statistically anomalous behavior (anomaly score 0.73); participation in a high-confidence peeling chain (probability 1.00).,1.726628226114436,Driven by: an unusually high number of incoming payments (contributed +0.138); an atypical number of transactions (contributed +0.116); an unusually high number of outgoing payments (contributed +0.097).,Driven by: how tightly-timed the fastest hop was (contributed +0.169); the average time between hops (contributed +0.111); how tightly-timed the slowest hop was (contributed +0.077).,"[Anomaly] Driven by: an unusually high number of incoming payments (contributed +0.138); an atypical number of transactions (contributed +0.116); an unusually high number of outgoing payments (contributed +0.097). [Peeling-chain, P=1.00] Driven by: how tightly-timed the fastest hop was (contributed +0.169); the average time between hops (contributed +0.111); how tightly-timed the slowest hop was (contributed +0.077)."
bc1qzs43c5ba75uuzpeal2w37d4ivsolmlgses6m03,8.060327410781007e-07,0.7149452768177451,1.0,1.0,True,peeling,False,Flagged for: statistically anomalous behavior (anomaly score 0.71); participation in a high-confidence peeling chain (probability 1.00).,1.7149460828504863,Driven by: an unusually high transaction frequency (contributed +0.136).,Driven by: how tightly-timed the fastest hop was (contributed +0.169); the average time between hops (contributed +0.111); how tightly-timed the slowest hop was (contributed +0.077).,"[Anomaly] Driven by: an unusually high transaction frequency (contributed +0.136). [Peeling-chain, P=1.00] Driven by: how tightly-timed the fastest hop was (contributed +0.169); the average time between hops (contributed +0.111); how tightly-timed the slowest hop was (contributed +0.077)."
bc1ql8hbgcj1gnfiue2wnf5ca7zvky2refjqigyvzw,3.4903408132352786e-07,0.705715043636646,1.0,1.0,True,peeling,False,Flagged for: statistically anomalous behavior (anomaly score 0.71); participation in a high-confidence peeling chain (probability 1.00).,1.7057153926707271,Driven by: an unusually high number of outgoing payments (contributed +0.148); an unusually high transaction frequency (contributed +0.051); an atypical time-of-day transaction pattern (contributed +0.002).,Driven by: how tightly-timed the fastest hop was (contributed +0.169); the average time between hops (contributed +0.120); how tightly-timed the slowest hop was (contributed +0.077).,"[Anomaly] Driven by: an unusually high number of outgoing payments (contributed +0.148); an unusually high transaction frequency (contributed +0.051); an atypical time-of-day transaction pattern (contributed +0.002). [Peeling-chain, P=1.00] Driven by: how tightly-timed the fastest hop was (contributed +0.169); the average time between hops (contributed +0.120); how tightly-timed the slowest hop was (contributed +0.077)."
bc1q6vasifpwioxd9css9toqw9ja2m0w10lbt3g2qz,1.171688102939532e-05,0.6866365066244525,1.0,1.0,True,peeling,False,Flagged for: statistically anomalous behavior (anomaly score 0.69); participation in a high-confidence peeling chain (probability 1.00).,1.686648223505482,Driven by: an unusually high transaction frequency (contributed +0.142).,Driven by: how tightly-timed the fastest hop was (contributed +0.168); the average time between hops (contributed +0.118); how tightly-timed the slowest hop was (contributed +0.081).,"[Anomaly] Driven by: an unusually high transaction frequency (contributed +0.142). [Peeling-chain, P=1.00] Driven by: how tightly-timed the fastest hop was (contributed +0.168); the average time between hops (contributed +0.118); how tightly-timed the slowest hop was (contributed +0.081)."
bc1qioh6cvbphvgnqgmjmbukdqp1hkf286utios5hr,1.5203237921455702e-06,0.6836863465246643,1.0,1.0,True,peeling,False,Flagged for: statistically anomalous behavior (anomaly score 0.68); participation in a high-confidence peeling chain (probability 1.00).,1.6836878668484565,Driven by: an unusually high number of outgoing payments (contributed +0.134); an unusually high transaction frequency (contributed +0.039).,Driven by: how tightly-timed the fastest hop was (contributed +0.169); the average time between hops (contributed +0.120); how tightly-timed the slowest hop was (contributed +0.077).,"[Anomaly] Driven by: an unusually high number of outgoing payments (contributed +0.134); an unusually high transaction frequency (contributed +0.039). [Peeling-chain, P=1.00] Driven by: how tightly-timed the fastest hop was (contributed +0.169); the average time between hops (contributed +0.120); how tightly-timed the slowest hop was (contributed +0.077)."
bc1qqnyy95g5dog8cfeffh8aoy7rp0aga24smux2rx,2.603098566484727e-06,0.6617061131488066,1.0,1.0,True,peeling,False,Flagged for: statistically anomalous behavior (anomaly score 0.66); participation in a high-confidence peeling chain (probability 1.00).,1.661708716247373,Driven by: an unusually high number of outgoing payments (contributed +0.125); an unusually high transaction frequency (contributed +0.049).,Driven by: how tightly-timed the fastest hop was (contributed +0.169); the average time between hops (contributed +0.120); how tightly-timed the slowest hop was (contributed +0.077).,"[Anomaly] Driven by: an unusually high number of outgoing payments (contributed +0.125); an unusually high transaction frequency (contributed +0.049). [Peeling-chain, P=1.00] Driven by: how tightly-timed the fastest hop was (contributed +0.169); the average time between hops (contributed +0.120); how tightly-timed the slowest hop was (contributed +0.077)."
bc1q8j1ui9l69isxuwvw1pm77xvmezxleaycdy1q1e,7.588795723911607e-06,0.6441954596166,1.0,1.0,True,peeling,False,Flagged for: statistically anomalous behavior (anomaly score 0.64); participation in a high-confidence peeling chain (probability 1.00).,1.644203048412324,Driven by: an atypical number of transactions (contributed +0.130); an unusually high number of incoming payments (contributed +0.120); an unusually high number of outgoing payments (contributed +0.092).,Driven by: how tightly-timed the fastest hop was (contributed +0.169); the average time between hops (contributed +0.114); how tightly-timed the slowest hop was (contributed +0.078).,"[Anomaly] Driven by: an atypical number of transactions (contributed +0.130); an unusually high number of incoming payments (contributed +0.120); an unusually high number of outgoing payments (contributed +0.092). [Peeling-chain, P=1.00] Driven by: how tightly-timed the fastest hop was (contributed +0.169); the average time between hops (contributed +0.114); how tightly-timed the slowest hop was (contributed +0.078)."
bc1q2vwmd5tfu2snx1se3xr6n18beqerftnvijzx4x,1.3011811268853389e-05,0.6435779115876895,1.0,1.0,True,peeling,False,Flagged for: statistically anomalous behavior (anomaly score 0.64); participation in a high-confidence peeling chain (probability 1.00).,1.6435909233989583,Driven by: an unusually high number of incoming payments (contributed +0.158); an atypical number of transactions (contributed +0.123); an unusually high number of outgoing payments (contributed +0.122).,Driven by: how tightly-timed the fastest hop was (contributed +0.169); the average time between hops (contributed +0.106); how tightly-timed the slowest hop was (contributed +0.077).,"[Anomaly] Driven by: an unusually high number of incoming payments (contributed +0.158); an atypical number of transactions (contributed +0.123); an unusually high number of outgoing payments (contributed +0.122). [Peeling-chain, P=1.00] Driven by: how tightly-timed the fastest hop was (contributed +0.169); the average time between hops (contributed +0.106); how tightly-timed the slowest hop was (contributed +0.077)."
