wallet,risk_propagated,risk_anomaly,risk_peeling,final_risk,involved_in_illicit_pattern,pattern_types_involved,is_seed,explanation,tie_break_score
bc1qvwvm4w3zkwdeekgyspengwyx9trflqbmae38sr,0.9626985892257522,0.5712358601191858,1.0,1.0,True,peeling,True,Flagged for: network proximity to known cash-out wallets (propagated risk 0.96); statistically anomalous behavior (anomaly score 0.57); participation in a high-confidence peeling chain (probability 1.00).,2.533934449344938
bc1qf1xw53zg1igae7utei5cqom3oqcez5xtebi7t9,0.9626970564087945,0.3144553444822967,1.0,1.0,True,peeling,True,Flagged for: network proximity to known cash-out wallets (propagated risk 0.96); participation in a high-confidence peeling chain (probability 1.00).,2.277152400891091
bc1qvfua9bq1btr23qiua08ekxdrkz40aq15o2nqw4,0.9626942507181636,0.16714216619456312,1.0,1.0,True,peeling,True,Flagged for: network proximity to known cash-out wallets (propagated risk 0.96); participation in a high-confidence peeling chain (probability 1.00).,2.1298364169127266
bc1qcxotx76d2kjrzcv3hrqa9vzeox981bf8w80uxn,0.9626949299333374,0.06467600060565591,1.0,1.0,True,peeling,True,Flagged for: network proximity to known cash-out wallets (propagated risk 0.96); participation in a high-confidence peeling chain (probability 1.00).,2.0273709305389933
bc1qn2twdl9zs13c9xqym52xg8p6befflzm764jwte,0.01624719323692558,1.0,1.0,1.0,True,"coinjoin,fanin,peeling",False,Flagged for: statistically anomalous behavior (anomaly score 1.00); participation in a high-confidence peeling chain (probability 1.00).,2.0162471932369255
bc1qdygfliji18k0axycelos6zle6kwhef0votqtxh,0.0010599537689254036,0.8279634963953817,1.0,1.0,True,"fanin,fanout,peeling",False,Flagged for: statistically anomalous behavior (anomaly score 0.83); participation in a high-confidence peeling chain (probability 1.00).,1.829023450164307
bc1qugnekrcpprcjiwvhdk8lw2lm349el8hl88kzru,0.0004424569190352125,0.7857953428364022,1.0,1.0,True,peeling,False,Flagged for: statistically anomalous behavior (anomaly score 0.79); participation in a high-confidence peeling chain (probability 1.00).,1.7862377997554373
bc1q5259gmq2p014x5dlwy1p6mxswy0szkbnsh8llr,5.114914087500805e-07,0.7713120877994932,1.0,1.0,True,peeling,False,Flagged for: statistically anomalous behavior (anomaly score 0.77); participation in a high-confidence peeling chain (probability 1.00).,1.771312599290902
bc1q3fpoyipk0qtl3q4n89qkns832ejx5td44k1j6f,0.004567495703666378,0.7618012016259993,1.0,1.0,True,peeling,False,Flagged for: statistically anomalous behavior (anomaly score 0.76); participation in a high-confidence peeling chain (probability 1.00).,1.7663686973296655
bc1qa4fejgxaa2ilgb0s0r2sds8b25sq8croyr6ccv,1.0145221503079824e-08,0.7517805025691469,1.0,1.0,True,"fanout,peeling",False,Flagged for: statistically anomalous behavior (anomaly score 0.75); participation in a high-confidence peeling chain (probability 1.00).,1.7517805127143684
bc1q15ahdbvzb0oih5csk30lvylkfxhkc856wpr97y,4.8203647211935154e-05,0.7447148839329132,1.0,1.0,True,peeling,False,Flagged for: statistically anomalous behavior (anomaly score 0.74); participation in a high-confidence peeling chain (probability 1.00).,1.7447630875801252
bc1q8osvc1u5w2k2ub5zr8346aw0ewayaj5nd3ao4m,6.258556681419363e-07,0.7266276002587677,1.0,1.0,True,peeling,False,Flagged for: statistically anomalous behavior (anomaly score 0.73); participation in a high-confidence peeling chain (probability 1.00).,1.726628226114436
bc1qzs43c5ba75uuzpeal2w37d4ivsolmlgses6m03,8.060327410781007e-07,0.7149452768177451,1.0,1.0,True,peeling,False,Flagged for: statistically anomalous behavior (anomaly score 0.71); participation in a high-confidence peeling chain (probability 1.00).,1.7149460828504863
bc1ql8hbgcj1gnfiue2wnf5ca7zvky2refjqigyvzw,3.4903408132352786e-07,0.705715043636646,1.0,1.0,True,peeling,False,Flagged for: statistically anomalous behavior (anomaly score 0.71); participation in a high-confidence peeling chain (probability 1.00).,1.7057153926707271
bc1q6vasifpwioxd9css9toqw9ja2m0w10lbt3g2qz,1.1716881029395319e-05,0.6866365066244525,1.0,1.0,True,peeling,False,Flagged for: statistically anomalous behavior (anomaly score 0.69); participation in a high-confidence peeling chain (probability 1.00).,1.686648223505482
bc1qioh6cvbphvgnqgmjmbukdqp1hkf286utios5hr,1.5203237921455702e-06,0.6836863465246643,1.0,1.0,True,peeling,False,Flagged for: statistically anomalous behavior (anomaly score 0.68); participation in a high-confidence peeling chain (probability 1.00).,1.6836878668484565
bc1qqnyy95g5dog8cfeffh8aoy7rp0aga24smux2rx,2.603098566484727e-06,0.6617061131488066,1.0,1.0,True,peeling,False,Flagged for: statistically anomalous behavior (anomaly score 0.66); participation in a high-confidence peeling chain (probability 1.00).,1.661708716247373
bc1q8j1ui9l69isxuwvw1pm77xvmezxleaycdy1q1e,7.588795723911607e-06,0.6441954596166,1.0,1.0,True,peeling,False,Flagged for: statistically anomalous behavior (anomaly score 0.64); participation in a high-confidence peeling chain (probability 1.00).,1.644203048412324
bc1q2vwmd5tfu2snx1se3xr6n18beqerftnvijzx4x,1.3011811268853387e-05,0.6435779115876895,1.0,1.0,True,peeling,False,Flagged for: statistically anomalous behavior (anomaly score 0.64); participation in a high-confidence peeling chain (probability 1.00).,1.6435909233989583
bc1qo5awlgitiz7tfp3g21cqtp3174gu65s6y5h3o0,3.490546231963774e-05,0.6415476685718545,1.0,1.0,True,peeling,False,Flagged for: statistically anomalous behavior (anomaly score 0.64); participation in a high-confidence peeling chain (probability 1.00).,1.641582574034174
bc1q0as9v7lp1lexdnrgcl0kgdveyxfuvskk1hsnz6,5.3384783530131565e-06,0.6192119524169226,1.0,1.0,True,peeling,False,Flagged for: statistically anomalous behavior (anomaly score 0.62); participation in a high-confidence peeling chain (probability 1.00).,1.6192172908952758
bc1quk18c7j0znruhmezvsq3heykukpxpsbtnbdzri,1.865391521293019e-05,0.6165770384651725,1.0,1.0,True,peeling,False,Flagged for: statistically anomalous behavior (anomaly score 0.62); participation in a high-confidence peeling chain (probability 1.00).,1.6165956923803855
bc1qgvzpfcglckwt2e077u55d5q3ov9jydfzdtc5pa,0.00014329598523382862,0.615020717281206,1.0,1.0,True,peeling,False,Flagged for: statistically anomalous behavior (anomaly score 0.62); participation in a high-confidence peeling chain (probability 1.00).,1.61516401326644
bc1qagxbbi7ne86zmq0pr72pvk3yuz5h0gk8fkffgf,1.796491614098016e-06,0.6138437698666871,1.0,1.0,True,peeling,False,Flagged for: statistically anomalous behavior (anomaly score 0.61); participation in a high-confidence peeling chain (probability 1.00).,1.6138455663583011
bc1q0982n2atqyyv37dia5u6hc36kof8krd5eqy08p,5.346475651140838e-05,0.6099130971279485,1.0,1.0,True,peeling,False,Flagged for: statistically anomalous behavior (anomaly score 0.61); participation in a high-confidence peeling chain (probability 1.00).,1.6099665618844599
bc1qlk3e4xyf9igfu8iogxpbwhvnzh13cd5glqj5sx,6.332164839104764e-05,0.605437218207054,1.0,1.0,True,peeling,False,Flagged for: statistically anomalous behavior (anomaly score 0.61); participation in a high-confidence peeling chain (probability 1.00).,1.605500539855445
bc1q9ewo7tcbw5qqb5i92wmsj9uk693p483chelhrx,8.944929526104133e-07,0.5964037154233696,1.0,1.0,True,peeling,False,Flagged for: statistically anomalous behavior (anomaly score 0.60); participation in a high-confidence peeling chain (probability 1.00).,1.596404609916322
bc1qdou0ze3lnzkf3ikn9ntwjipo86k24zn0mwmkcw,6.008471337174692e-06,0.5950893543763767,1.0,1.0,True,peeling,False,Flagged for: statistically anomalous behavior (anomaly score 0.60); participation in a high-confidence peeling chain (probability 1.00).,1.5950953628477138
bc1qtzk3ny9v20yar821uzvgww4fyb8dalfyo1750c,1.0053664967389587e-07,0.5899450866640823,1.0,1.0,True,peeling,False,Flagged for: statistically anomalous behavior (anomaly score 0.59); participation in a high-confidence peeling chain (probability 1.00).,1.589945187200732
bc1qyxaqafb6qdfe2k3ruuwy9zw5lf30ei0iou8h1b,2.658682267852947e-06,0.586485934535966,1.0,1.0,True,peeling,False,Flagged for: statistically anomalous behavior (anomaly score 0.59); participation in a high-confidence peeling chain (probability 1.00).,1.5864885932182338
bc1qhzocjecb4yhbm2hnsqlnap8meesmcouez7ryc2,6.993827225181109e-06,0.5641029883747648,1.0,1.0,True,peeling,False,Flagged for: statistically anomalous behavior (anomaly score 0.56); participation in a high-confidence peeling chain (probability 1.00).,1.56410998220199
bc1qne9ebhnqqa4p29xb4o6pjhnd3j5h4l1m3tfqco,7.389918399534866e-06,0.5544191850294744,1.0,1.0,True,peeling,False,Flagged for: statistically anomalous behavior (anomaly score 0.55); participation in a high-confidence peeling chain (probability 1.00).,1.554426574947874
bc1q3e6oqe09o8a906k37e4ey9jvb6hpphpm0d5wlw,2.9934272619132518e-05,0.5525447116073434,1.0,1.0,True,peeling,False,Flagged for: statistically anomalous behavior (anomaly score 0.55); participation in a high-confidence peeling chain (probability 1.00).,1.5525746458799625
bc1qyo4rcb1kjtgq01tee13n3bzt9d31k9qm3p91i3,7.547099061590611e-06,0.5404783095082796,1.0,1.0,True,peeling,False,Flagged for: statistically anomalous behavior (anomaly score 0.54); participation in a high-confidence peeling chain (probability 1.00).,1.5404858566073412
bc1q54xreazmce71j9znd8qzv5u7xhruszvd006t5e,7.4818067680627525e-06,0.5357102679495255,1.0,1.0,True,peeling,False,Flagged for: statistically anomalous behavior (anomaly score 0.54); participation in a high-confidence peeling chain (probability 1.00).,1.5357177497562935
bc1qrr43ur4mfjhojalbh1nyks9urxijam31bxpgwj,3.2883725027620816e-06,0.5297624731673278,1.0,1.0,True,peeling,False,Flagged for: statistically anomalous behavior (anomaly score 0.53); participation in a high-confidence peeling chain (probability 1.00).,1.5297657615398306
bc1q81bmqf7zk94yxfiblejgublmntfk7orfqla09l,7.092420487029654e-06,0.5154643648639092,1.0,1.0,True,peeling,False,Flagged for: statistically anomalous behavior (anomaly score 0.52); participation in a high-confidence peeling chain (probability 1.00).,1.5154714572843964
bc1qqwfwp9k1uoaa2qyruy4kj8gvskoi4swh0tt9kv,4.144783350484714e-06,0.5050362215090634,1.0,1.0,True,peeling,False,Flagged for: statistically anomalous behavior (anomaly score 0.51); participation in a high-confidence peeling chain (probability 1.00).,1.505040366292414
bc1qledo515igjzae557o7rci2afi41jip23rb1w0x,3.838000411896583e-06,0.4992498466245264,1.0,1.0,True,peeling,False,Flagged for: participation in a high-confidence peeling chain (probability 1.00).,1.4992536846249382
bc1qd2rttdwospe14ot4fpuh7znjzhobhgs59ymzy6,1.7926875709169337e-05,0.49705902494508614,1.0,1.0,True,peeling,False,Flagged for: participation in a high-confidence peeling chain (probability 1.00).,1.4970769518207954
bc1q4dqxin67273jyzbb27s9bu1dgej1dg6fwronbv,7.319202263164856e-08,0.49682176910885706,1.0,1.0,True,peeling,False,Flagged for: participation in a high-confidence peeling chain (probability 1.00).,1.4968218423008797
bc1q1w7kf0fkaiezadesvtyjicvrd7m1v9e79gk0so,8.77992734088299e-07,0.4948849570547641,1.0,1.0,True,peeling,False,Flagged for: participation in a high-confidence peeling chain (probability 1.00).,1.4948858350474983
